集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
4,3,12,特写,4 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨面部肌肉紧绷，眼眶泛红（不是哭，是极致的愤怒）。,楚烨从牙缝里挤出字。,推近,楚烨,沈清冷……白黎……都在等我成熟？,愤怒、难以置信,,沉重、压抑,楚烨急促的呼吸声,愤怒、绝望
4,3,13,中景,5 秒,数据深渊,无,内,"楚烨, SY-0000",SY-0000的身影更淡了一些。,SY-0000微微点头。,固定,SY-0000,你是沈清冷的长生药。存在的意义，就是被收割。,麻木,声音在脑海回荡,沉重、压抑,数据链松动声,愤怒、绝望
4,4,14,中景,4 秒,数据深渊,无,内,"楚烨, SY-0000",SY-0000的数据链伸向楚烨，仿佛在邀请。,SY-0000伸出手（虚影）。,固定,SY-0000,放弃吧。完成协议，是你唯一的意义。,劝诱,,低沉、诱惑的旋律,数据链伸展声,疯狂、决绝
4,4,15,特写,3 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨低着头，肩膀微微抖动。,楚烨突然发出一声低笑。,固定,,,,,音乐骤停,"楚烨低沉、疯狂的笑声, 咳血声",疯狂、决绝
4,4,16,特写,2 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨猛地抬头，眼中燃烧着疯狂的光芒。,楚烨眼神决绝地看向SY-0000。,快速推近,,,,,无,急促的呼吸声,疯狂、决绝
4,4,17,特写,3 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨的手粗暴地撕开自己的高领衫，露出剧烈搏动的倒悬玫瑰烙印。,布料撕裂。,固定,,,,,无,"布料撕裂声, 玫瑰搏动的低沉嗡鸣",疯狂、决绝
4,4,18,特写,2 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨的手从裤腿处拔出第二支无标签的淡青色稳定剂。,拿出稳定剂。,快速下移后固定,,,,,无,金属针管摩擦声,疯狂、决绝
4,5,19,特写,2 秒,数据深渊,无,内,"楚烨, SY-0000",针尖对准胸口玫瑰烙印的核心。,楚烨的手稳如磐石。,极速推近针尖,,,,,无,强烈的心跳声,激烈、毁灭
4,5,20,特写,1 秒,数据深渊,无,内,"楚烨, SY-0000",针头猛地刺入玫瑰中心！,注射。,剧烈震动,楚烨,我的底层逻辑，是老子自己写的！,疯狂、嘶吼,,激烈、狂暴的电子摇滚骤起,"针头刺入皮肉的闷响, 液体注入声, 楚烨的闷哼",激烈、毁灭
4,5,21,快速蒙太奇,4 秒,数据深渊,无,内,"楚烨, SY-0000",快速闪现：楚烨眼神涣散（放弃防御），红玫瑰倒刺瞬间刺穿心脏的动画示意，银灰色编码逆流注入屏幕。,画面快速冲击。,快速切换、晃动,系统音,警告！基因锁崩溃！排异指数90%！,尖锐、混乱,带有杂音,激烈、狂暴的电子摇滚,"系统警报尖叫, 骨骼碎裂声, 能量逆流声",激烈、毁灭
4,5,22,特写,2 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨满脸是血，却露出一个快意的笑容。,楚烨嘴角上扬。,固定,楚烨,我不是宿主，是病毒！,快意、决绝,,音乐达到最高潮后骤停,楚烨嘶哑的喊声,激烈、毁灭
4,5,23,中景,3 秒,数据深渊,无,内,"楚烨, SY-0000",幽蓝屏幕爆发刺眼白光，吞噬一切。SY-0000的残影在光芒中扭曲、分解、消失。,数据链全部崩断。,快速拉远,SY-0000,（无声的惨叫）,惊恐,只有口型，无实际声音,无,"巨大的能量爆炸声, 数据崩解声, 白光充斥的噪音",激烈、毁灭
4,6,24,中景,4 秒,黑暗虚无空间,无,内,楚烨,楚烨向后缓缓倒地。他胸口的玫瑰烙印光芒熄灭。,楚烨闭上眼睛。,慢镜头跟随倒地,,,,,逐渐平息的电子嗡鸣,"身体倒地的闷响, 嗡鸣渐弱",悬念、未知
4,6,25,特写,5 秒,黑暗虚无空间,无,内,楚烨,悬浮屏幕重新亮起，微弱光芒。显示：“系统重置中……原点密钥已变更……”。下方闪烁一个坐标（废弃信号塔）。,坐标持续闪烁。,缓慢推近坐标,系统音,系统重置中……原点密钥已变更……,平稳、重置中,新的、无感情的机械音,悬念、低沉的电子脉冲声,"系统低鸣声, 坐标闪烁的滴答声",悬念、未知
