集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
2,3,11,特写,2 秒,胶囊公寓,凌晨,内,楚烨,面板上显示：当前点数：420。暴毙阈值：4000。,楚烨的眉头几不可察地皱了一下。,固定,,,,,同上,,紧迫、冷静
2,3,12,中景,3 秒,胶囊公寓,凌晨,内,楚烨,楚烨站起身，望向窗外灰蒙蒙的悬骨区。,他眼神锐利地扫过远处霓虹闪烁的“极乐场”招牌，深吸一口气，仿佛下定了某种决心。,从楚烨摇向窗外的极乐场,楚烨,点数不够，就赚到够。,决绝,低声自语,转为带有行动感的节奏鼓点,远处模糊的都市噪音,紧迫、冷静
2,4,13,中景,3 秒,悬骨区栈桥公共终端,清晨,外,楚烨,楚烨路过一个公共终端，脚步突然顿住。,他猛地转头看向屏幕，瞳孔骤然收缩。,固定,,,,,突然中断，转为诡异的寂静,脚步声停止,震惊、悬疑
2,4,14,特写,4 秒,悬骨区栈桥公共终端,清晨,外,楚烨,终端屏幕上闪过一行加密信息（以乱码形式出现，然后迅速解码成文字）。内容：“休眠代码第三层破解进度47%。发现异常时间戳。1999.12.31。”,楚烨死死盯着那行日期。,快速推近至日期文字,,,,,低沉、揭示真相般的管风琴音,数据流解码的电子音,震惊、悬疑
2,4,15,特写,3 秒,悬骨区栈桥公共终端,清晨,外,楚烨,楚烨脸上掠过一丝难以置信的表情，随即被更深的疑惑取代。,他后退半步，手指无意识地收紧。,固定,楚烨,1999年...在我出生前？,震惊、低语,几乎是气声,持续悬疑音效,,震惊、悬疑
2,5,16,中景,3 秒,极乐场内部,日,内,"楚烨, 陌生女人",楚烨站在舞池边，面无表情地看着嘈杂的人群。他脸色苍白，与周围环境格格不入。,他端起一杯酒，一饮而尽，喉结滚动。,固定,,,,,极乐场喧闹的电子音乐,"人群喧哗声, 酒杯碰撞声",冷漠、疏离
2,5,17,特写,2 秒,极乐场内部,日,内,"楚烨, 陌生女人",一个穿着暗红色风衣的陌生女人从楚烨身边经过，突然停下脚步。,女人转过头，眼神迷离地看向楚烨，仿佛被什么吸引。,从楚烨摇向女人,,,,,背景音乐中加入一丝不和谐、诱惑的旋律,,冷漠、疏离
2,5,18,特写,2 秒,极乐场内部,日,内,"楚烨, 陌生女人",楚烨冷冷地瞥了女人一眼，眼神里没有任何温度。,他毫不犹豫地转身，向门口走去。,固定,,,,,背景音乐瞬间恢复正常喧闹,,冷漠、疏离
2,5,19,特写,2 秒,极乐场内部,日,内,"楚烨, 陌生女人",楚烨的视野中，系统提示一闪而过：“纨绔任务完成。生存点数+5。”,楚烨脚步未停，径直离开。,固定,,,,,同上,系统轻微提示音,冷漠、疏离
2,6,20,中景,4 秒,胶囊公寓,夜,内,楚烨,楚烨坐在床沿，面前摊开着几样东西：数据芯片、信号屏蔽器、一张写有“B-12-00”的纸片、三支注射器。,他的手指依次点过这些物品，眼神专注，仿佛在脑中推演。,缓慢平移，展示物品,,,,,冷静、逻辑性强的电子节拍,手指轻敲桌面的声音,决绝、平静
2,6,21,特写,3 秒,胶囊公寓,夜,内,楚烨,楚烨拿起那张写着“B-12-00”禁忌坐标的纸片，凝视片刻。,他将纸片紧紧攥在手心。,推近至他攥紧的手,楚烨,第一步，体检。第二步，用药。第三步...去这里。,冷静、自语,声音平稳，像在念计划书,节奏加快，带有目的性,纸张摩擦声,决绝、平静
2,6,22,特写,3 秒,胶囊公寓,夜,内,楚烨,楚烨拿起一支无标签注射器，对着灯光看了看里面淡青色的液体。,他的眼神变得异常锐利，仿佛透过液体看到了计划的终点。,从注射器摇到楚烨的脸,楚烨,最后，让倒刺...刺穿这里。,决绝,手指轻轻点了一下自己的左胸心脏位置,音乐达到一个小高潮，然后陡然变得空灵、宿命,,决绝、平静
2,7,23,特写,4 秒,胶囊公寓,夜,内,楚烨,楚烨的手轻轻按在自己的左胸口。他的眼神深邃，仿佛在倾听体内的声音。,他缓缓闭上眼睛，眉头微蹙，仿佛在思考一个难题。,极缓慢地推近,,,,,空灵、带有回响的合成音,微弱的心跳声被放大,顿悟、宿命
2,7,24,特写,3 秒,胶囊公寓,夜,内,楚烨,楚烨睁开眼睛，眼中闪过一丝了然的光芒。,他嘴角勾起一个极淡的、近乎讽刺的弧度。,固定,楚烨,死刑判决...也是钥匙。,顿悟、低语,声音很轻，但清晰,音效中加入一声悠远、模糊的叹息声（混在音乐中）,那声神秘的叹息（环境音）,顿悟、宿命
2,7,25,中景,3 秒,胶囊公寓,夜,内,楚烨,楚烨仿佛看到三个模糊的身影（沈清冷、林夏、白黎的剪影）在黑暗中注视着他。,楚烨平静地回望那三个方向，没有任何退缩。,镜头在楚烨和三个虚影间缓慢切换,楚烨,都在等我这颗棋子...落下。,平静、认命,语气不带情绪,音乐变得宏大而悲壮,,顿悟、宿命
2,8,26,中景,,胶囊公寓,夜,内,楚烨,,,,,,,,,,平静、终极悬念
