集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
1,3,11,中景,3 秒,夜店吧台,夜,内,"楚烨, 沈清冷",楚烨身体倾向沈清冷，距离极近。,他做出暧昧低语的姿态。,固定,楚烨,也许是某个人的监视频率太高了。,挑衅,压低声音,紧张加剧,,试探、反转
1,3,12,中景,3 秒,夜店吧台,夜,内,"楚烨, 沈清冷",沈清冷瞳孔收缩。她放下水杯，从风衣内袋取出一个透明小容器。,她将容器推向楚烨。容器内是淡蓝色液体。,摇,沈清冷,下周六晚宴，云顶区。你的基因数据将被评估。,命令,,紧张加剧,容器与吧台摩擦声,试探、反转
1,3,13,特写（手部）,2 秒,夜店吧台,夜,内,"楚烨, 沈清冷",楚烨的手没有去拿容器，而是缓慢地覆在沈清冷颤抖的手上。,楚烨握住她的手。,固定,楚烨,沈总，你的手在抖。,玩味、识破,,紧张加剧,心跳声,试探、反转
1,3,14,中景,2 秒,夜店吧台,夜,内,"楚烨, 沈清冷",沈清冷猛地抽回手，透明容器被打翻。,淡蓝色液体洒在餐巾纸上，发出刺鼻气味。,快速拉,,,,,紧张加剧,"容器打翻声, 液体溅出声",试探、反转
1,3,15,中景,3 秒,夜店吧台,夜,内,"楚烨, 沈清冷",沈清冷站起身，脸色冰冷。,她头也不回地走向出口。,跟拍（背影）,沈清冷,下周六，倒悬金字塔，二十一点。,强装镇定,,悬疑、冰冷,高跟鞋快步离开声,试探、反转
1,3,16,特写,3 秒,夜店吧台,夜,内,"楚烨, 沈清冷",楚烨低头看着吧台。被浸湿的餐巾纸残留着微弱的蓝色荧光。,楚烨的手指轻轻划过发光的纸面。,推,,,,,悬疑、冰冷,"微弱电流音, 环境音消失",试探、反转
1,4,17,中景,3 秒,胶囊公寓浴室,夜,内,楚烨,楚烨站在镜前，解开衬衫领口。,他露出锁骨下方一道两厘米长的淡色疤痕。,固定,,,,,孤独、压抑,衣服摩擦声,孤独、警觉
1,4,18,特写（疤痕）,2 秒,胶囊公寓浴室,夜,内,楚烨,疤痕正在微微发烫，泛着极淡的红光。,疤痕特写。,固定,,,,,孤独、压抑,微弱警报音效,孤独、警觉
1,4,19,特写（面部）,3 秒,胶囊公寓浴室,夜,内,楚烨,镜中楚烨的眼神疲惫，但瞳孔深处有东西在碎裂。,他紧盯着镜中的自己。,推,,,,,孤独、压抑,沉重呼吸声,孤独、警觉
1,4,20,特写（通讯器屏幕）,3 秒,胶囊公寓浴室,夜,内,楚烨,通讯器屏幕亮起，显示加密信息：“找到异常数据包，指向白家服务器。需面谈。——林夏”,楚烨的拇指悬在回复键上方。,固定,,,,,紧张弦乐,"信息提示音, 胸腔内红玫瑰剧烈颤动音效",孤独、警觉
1,4,21,特写（手部）,2 秒,胶囊公寓浴室,夜,内,楚烨,楚烨的手猛地攥紧，指节发白。,他将通讯器猛地塞回口袋，没有回复。,固定,,,,,紧张弦乐,布料摩擦声,孤独、警觉
1,5,22,特写（通讯器屏幕）,3 秒,胶囊公寓内,夜,内,楚烨,通讯器再次震动，屏幕显示新消息：“明日上午十点，定期体检。——白黎医生”,屏幕特写。,固定,,,,,不祥、低回,信息提示音,怀疑、危机
1,5,23,快速闪回/特写,2 秒,胶囊公寓内,夜,内,楚烨,画面快速闪过：白黎戴着金丝眼镜的温婉脸庞。,她正用冰冷的针管抽血。,快速推,,,,,不祥、低回,抽血仪器音效,怀疑、危机
1,5,24,快速闪回/屏幕特写,2 秒,胶囊公寓内,夜,内,楚烨,暗网拍卖页面闪过，商品描述：“高纯度端粒序列，基因特征吻合度99.8%”。,页面快速划过。,固定,,,,,不祥、低回,"键盘敲击声, 数据流声",怀疑、危机
1,5,25,特写（面部）,3 秒,胶囊公寓内,夜,内,楚烨,楚烨眼神中的怀疑和危机感加剧。,他闭了闭眼，再睁开时眼神锐利。,固定,,,,,不祥、低回,心跳声加快,怀疑、危机
1,6,26,主观视角/中景,4 秒,胶囊公寓床上,夜,内,楚烨,楚烨躺下，看着天花板投影的城市夜景（酸雨、霓虹）。视野右下角，系统倒计时跳动：72:14:33:07。红玫瑰投影几乎触及心脏。,楚烨凝视着倒计时。,固定,,,,,空灵、绝望,"雨声, 倒计时滴答声",绝望、决意
1,6,27,特写（视网膜投影）,3 秒,胶囊公寓床上,夜,内,楚烨,特写楚烨眼中的倒计时和红玫瑰。生存点数显示：3850/4000。,数字和玫瑰的投影在瞳孔中清晰可见。,推,楚烨,还差150点……,低沉、自语,,空灵、绝望,"倒计时滴答声加重, 红玫瑰生长的沙沙声",绝望、决意
1,6,28,特写（面部）,3 秒,胶囊公寓床上,夜,内,楚烨,楚烨闭上眼睛，眉头紧锁。,他脸上闪过疲惫,,,,,,,,绝望、决意
